Символ;Вес;Удельный вес;Центр тяжести (X);Центр тяжести (Y);Нормированный центр тяжести (X);Нормированный центр тяжести (Y);Горизонтальный осевой момент;Вертикальный осевой момент;Номированный горизонтальный осевой момент;Номированный вертикальный осевой момент
А;392;0.339;18.48;16.31;0.514;0.478;22494;33966;0.146;0.221
Б;486;0.496;17.23;11.97;0.477;0.406;34819;61055;0.147;0.258
В;536;0.528;16.90;13.09;0.468;0.432;42200;62129;0.147;0.216
Г;271;0.310;11.70;7.12;0.315;0.255;12305;31916;0.168;0.435
Д;604;0.399;20.88;18.02;0.485;0.486;62827;106562;0.172;0.292
Е;459;0.452;15.79;11.34;0.435;0.369;31637;59988;0.150;0.285
Ё;508;0.407;21.77;11.22;0.494;0.365;33180;80973;0.129;0.314
Ж;636;0.384;17.14;23.40;0.461;0.498;90574;66370;0.224;0.164
З;417;0.417;18.14;15.09;0.476;0.542;22963;58811;0.132;0.338
И;514;0.490;17.28;14.96;0.479;0.481;54957;46793;0.208;0.177
Й;586;0.425;25.23;14.13;0.538;0.453;56297;86020;0.164;0.250
К;401;0.441;16.50;10.30;0.456;0.372;21832;40628;0.136;0.253
Л;433;0.388;15.56;17.69;0.416;0.556;37929;57463;0.202;0.306
М;612;0.486;17.61;18.02;0.489;0.486;92712;58749;0.248;0.157
Н;444;0.423;17.01;14.91;0.471;0.480;54596;35845;0.277;0.182
О;493;0.370;18.06;17.74;0.474;0.478;62794;67622;0.258;0.278
П;442;0.421;13.73;14.68;0.374;0.472;54356;52613;0.278;0.269
Р;435;0.429;13.17;11.75;0.358;0.384;35124;36642;0.186;0.194
С;409;0.335;18.04;14.38;0.473;0.418;38940;64014;0.233;0.383
Т;292;0.278;10.95;15.34;0.293;0.495;10090;33995;0.118;0.399
У;332;0.279;16.41;17.44;0.440;0.514;20444;34882;0.185;0.316
Ф;569;0.439;17.34;18.49;0.481;0.486;57440;50252;0.177;0.155
Х;399;0.335;16.73;17.34;0.463;0.495;26428;42899;0.166;0.269
Ц;493;0.356;22.46;15.37;0.523;0.449;65388;69226;0.269;0.285
Ч;341;0.336;16.32;16.51;0.450;0.554;34413;26614;0.296;0.229
Ш;579;0.414;19.10;19.77;0.532;0.481;104990;67955;0.313;0.203
Щ;700;0.397;21.58;20.19;0.502;0.468;132285;96048;0.270;0.196
Ъ;444;0.317;18.60;21.21;0.518;0.518;44566;50876;0.226;0.258
Ь;389;0.397;20.83;11.41;0.583;0.386;31150;33267;0.206;0.220
Э;463;0.379;18.34;18.29;0.482;0.540;38534;62340;0.180;0.291
Ю;634;0.389;17.99;19.81;0.472;0.437;121779;82160;0.303;0.204
Я;518;0.477;15.19;17.22;0.417;0.541;43766;53732;0.163;0.200
I;70;0.778;6.97;3.14;0.427;0.429;129;1334;0.026;0.272
