Ш (0.944);Щ (0.942);Н (0.918);М (0.904);Ю (0.903);Ь (0.890);И (0.888);Й (0.886);Ц (0.885);Ж (0.879);О (0.877);Ф (0.876);Ъ (0.851);Д (0.850);А (0.841);Э (0.831);Ч (0.830);Б (0.829);В (0.825);Х (0.820);П (0.814);К (0.811);Я (0.810);Е (0.796);Л (0.793);Ё (0.790);Р (0.780);З (0.780);С (0.776);У (0.760);Т (0.612);Г (0.582);I (0.556)
И (0.946);Ф (0.930);М (0.921);Н (0.913);В (0.905);Щ (0.903);Ж (0.901);Б (0.899);Й (0.897);К (0.883);Ю (0.881);Я (0.881);Д (0.875);Р (0.869);Е (0.867);О (0.866);Ш (0.864);Ь (0.856);П (0.855);А (0.853);Х (0.844);Ц (0.842);Э (0.842);Ё (0.829);Ъ (0.822);Л (0.822);Ч (0.810);З (0.809);С (0.774);У (0.772);Т (0.662);Г (0.627);I (0.622)
Р (0.949);Е (0.872);К (0.868);П (0.836);Б (0.821);Ё (0.816);Ю (0.808);В (0.803);Ж (0.801);Х (0.796);Ф (0.796);О (0.795);Н (0.795);Д (0.793);И (0.789);Щ (0.787);Я (0.781);Й (0.779);А (0.777);М (0.769);Ц (0.768);С (0.768);Л (0.765);Ь (0.761);У (0.755);Э (0.755);Г (0.744);Ъ (0.740);Ш (0.740);Ч (0.738);З (0.734);Т (0.723);I (0.572)
О (0.969);Ц (0.943);Ъ (0.904);Ю (0.900);Х (0.899);Д (0.897);Щ (0.895);С (0.889);Э (0.881);П (0.879);Ч (0.878);У (0.874);Н (0.873);Ж (0.866);Л (0.866);Ш (0.865);А (0.864);Й (0.860);Ь (0.838);Ё (0.831);Е (0.828);К (0.827);З (0.825);Ф (0.824);И (0.818);М (0.813);Р (0.812);Б (0.812);Я (0.797);В (0.782);Т (0.735);Г (0.690);I (0.514)
К (0.946);Е (0.943);Ё (0.939);Б (0.886);Р (0.853);Й (0.851);Д (0.843);В (0.835);Ь (0.835);Х (0.821);С (0.820);А (0.820);О (0.810);Ц (0.807);Ф (0.798);И (0.793);Ю (0.791);Щ (0.790);П (0.789);Э (0.787);З (0.785);Ж (0.782);Н (0.777);У (0.770);Ъ (0.768);Я (0.766);Л (0.766);М (0.763);Г (0.753);Ш (0.749);Ч (0.717);Т (0.710);I (0.604)
А (0.960);Х (0.919);Й (0.908);Д (0.901);Ъ (0.886);Ь (0.878);Э (0.873);О (0.869);Ё (0.869);Ц (0.869);Ж (0.867);К (0.866);Ф (0.861);Щ (0.859);У (0.852);Е (0.841);Б (0.837);Ю (0.833);З (0.832);Н (0.831);С (0.824);И (0.823);Л (0.821);Ш (0.813);Р (0.809);В (0.808);Ч (0.806);Я (0.805);М (0.803);П (0.792);Т (0.714);Г (0.663);I (0.537)
Я (0.957);И (0.904);Ф (0.897);В (0.890);Д (0.878);Б (0.873);Ж (0.872);Л (0.869);М (0.867);Э (0.864);П (0.858);Н (0.857);Й (0.856);Р (0.855);З (0.852);К (0.851);Х (0.850);Е (0.847);О (0.839);Щ (0.838);А (0.833);Ю (0.816);Ч (0.804);Ъ (0.803);Ё (0.801);Ш (0.800);Ц (0.794);У (0.786);Ь (0.777);С (0.757);Т (0.710);I (0.649);Г (0.622)
Д (0.975);Э (0.963);Х (0.941);З (0.923);Л (0.914);О (0.905);Й (0.902);А (0.901);Ъ (0.895);У (0.881);Ц (0.873);Ж (0.862);Я (0.856);Щ (0.856);Ф (0.855);Ё (0.848);Б (0.847);С (0.847);К (0.846);П (0.842);Н (0.842);Ч (0.842);И (0.841);Е (0.841);Ю (0.827);В (0.823);Ь (0.821);Ш (0.820);М (0.816);Р (0.800);Т (0.754);Г (0.658);I (0.574)
Л (0.969);Э (0.926);Д (0.913);З (0.902);Х (0.900);О (0.898);П (0.884);У (0.881);Ъ (0.860);Ч (0.855);Я (0.852);Ц (0.847);С (0.846);Ж (0.839);Й (0.838);А (0.837);Н (0.830);Щ (0.830);Е (0.820);Ю (0.818);Ф (0.816);И (0.816);Б (0.814);К (0.811);Ё (0.806);Ш (0.801);Р (0.799);М (0.795);В (0.795);Т (0.788);Ь (0.764);Г (0.672);I (0.564)
Е (0.943);Ё (0.943);К (0.921);Б (0.896);Й (0.845);Д (0.841);В (0.838);С (0.825);Р (0.819);Ь (0.816);Х (0.801);О (0.799);З (0.798);Ц (0.797);А (0.791);Э (0.784);И (0.782);П (0.781);Ф (0.774);Щ (0.769);Ю (0.768);Л (0.765);Я (0.758);Н (0.758);У (0.754);Ж (0.753);Г (0.750);М (0.750);Ъ (0.750);Ш (0.736);Т (0.704);Ч (0.699);I (0.635)
К (0.946);Е (0.943);Ё (0.939);Б (0.886);Р (0.853);Й (0.851);Д (0.843);В (0.835);Ь (0.835);Х (0.821);С (0.820);А (0.820);О (0.810);Ц (0.807);Ф (0.798);И (0.793);Ю (0.791);Щ (0.790);П (0.789);Э (0.787);З (0.785);Ж (0.782);Н (0.777);У (0.770);Ъ (0.768);Я (0.766);Л (0.766);М (0.763);Г (0.753);Ш (0.749);Ч (0.717);Т (0.710);I (0.604)
Т (0.922);Г (0.794);У (0.774);С (0.760);Л (0.729);Х (0.728);З (0.716);Д (0.705);Ё (0.705);Э (0.701);Е (0.696);П (0.691);О (0.687);К (0.676);Р (0.668);Ъ (0.668);А (0.666);Ц (0.661);Ч (0.643);Б (0.640);Й (0.638);Я (0.628);Ж (0.621);Ю (0.615);Щ (0.607);В (0.600);Н (0.599);Ф (0.597);Ь (0.589);И (0.582);Ш (0.569);М (0.555);I (0.430)
Р (0.949);Е (0.872);К (0.868);П (0.836);Б (0.821);Ё (0.816);Ю (0.808);В (0.803);Ж (0.801);Х (0.796);Ф (0.796);О (0.795);Н (0.795);Д (0.793);И (0.789);Щ (0.787);Я (0.781);Й (0.779);А (0.777);М (0.769);Ц (0.768);С (0.768);Л (0.765);Ь (0.761);У (0.755);Э (0.755);Г (0.744);Ъ (0.740);Ш (0.740);Ч (0.738);З (0.734);Т (0.723);I (0.572)
