Ш (0.948);Щ (0.932);Н (0.914);М (0.904);Ю (0.890);И (0.886);Й (0.877);Ц (0.876);Ж (0.875);О (0.872);Ф (0.871);Ь (0.870);Ъ (0.852);Д (0.846);Ч (0.836);Э (0.834);А (0.834);Б (0.816);В (0.816);Х (0.815);Я (0.813);П (0.809);Л (0.796);К (0.793);З (0.783);Е (0.779);Ё (0.774);С (0.766);Р (0.764);У (0.758);Т (0.607);Г (0.565);I (0.553)
И (0.965);Ф (0.939);М (0.938);Н (0.921);Ж (0.909);Щ (0.907);Я (0.901);В (0.896);Й (0.895);Б (0.882);Д (0.879);Ю (0.875);Ш (0.873);О (0.869);Э (0.856);К (0.856);П (0.854);А (0.852);Х (0.845);Р (0.844);Е (0.842);Ь (0.841);Ц (0.840);Л (0.836);Ъ (0.830);Ч (0.825);З (0.821);Ё (0.809);У (0.774);С (0.766);Т (0.658);I (0.621);Г (0.604)
Р (0.949);Е (0.875);К (0.870);П (0.856);Б (0.825);Ю (0.824);Ё (0.821);Ж (0.820);Х (0.818);О (0.817);Д (0.812);Н (0.811);Ф (0.808);В (0.806);Щ (0.804);И (0.800);Я (0.796);А (0.795);Й (0.792);Л (0.789);Ц (0.787);С (0.785);М (0.781);У (0.779);Э (0.777);Ь (0.770);Ъ (0.763);Ч (0.762);Ш (0.756);З (0.752);Г (0.743);Т (0.740);I (0.566)
О (0.979);Ц (0.938);Ъ (0.916);Д (0.907);Х (0.904);Э (0.903);Ч (0.890);Щ (0.889);Л (0.888);С (0.886);Ю (0.884);У (0.883);П (0.877);Н (0.868);Ш (0.865);Ж (0.863);А (0.862);Й (0.860);З (0.845);Ь (0.825);Ф (0.821);Ё (0.819);И (0.817);Е (0.815);К (0.813);М (0.812);Б (0.806);Я (0.805);Р (0.793);В (0.778);Т (0.738);Г (0.674);I (0.516)
К (0.972);Е (0.957);Ё (0.945);Б (0.918);Й (0.884);Д (0.876);В (0.867);Р (0.859);Ь (0.848);Х (0.846);А (0.845);О (0.830);Ф (0.829);И (0.825);С (0.823);Ц (0.822);Э (0.820);З (0.819);Щ (0.813);Ж (0.808);П (0.806);Ю (0.805);Я (0.802);Н (0.801);Л (0.794);М (0.792);Ъ (0.791);У (0.786);Ш (0.771);Ч (0.739);Г (0.725);Т (0.715);I (0.624)
А (0.979);Х (0.925);Ъ (0.913);Й (0.902);Д (0.901);Э (0.892);О (0.871);Ж (0.869);Ц (0.869);Ь (0.863);У (0.862);Щ (0.860);Ф (0.858);З (0.842);Ё (0.837);Л (0.831);К (0.831);Н (0.830);Ю (0.824);Ч (0.822);Ш (0.819);И (0.818);С (0.814);Б (0.813);Е (0.807);Я (0.805);М (0.801);В (0.790);П (0.782);Р (0.778);Т (0.707);Г (0.632);I (0.522)
Я (0.969);И (0.900);Ф (0.897);Л (0.881);Д (0.880);Э (0.878);Ж (0.876);В (0.871);М (0.868);З (0.862);Н (0.859);Й (0.855);Б (0.854);Х (0.854);П (0.851);О (0.842);Щ (0.840);А (0.836);Р (0.830);К (0.830);Е (0.824);Ч (0.817);Ъ (0.814);Ю (0.812);Ш (0.806);Ц (0.796);У (0.792);Ё (0.787);Ь (0.772);С (0.752);Т (0.706);I (0.636);Г (0.603)
Э (0.974);З (0.934);Д (0.930);Л (0.927);Х (0.918);Ъ (0.894);У (0.891);О (0.886);А (0.871);Й (0.862);Ц (0.854);Ч (0.844);С (0.838);Ж (0.832);Я (0.832);Щ (0.826);П (0.821);Ф (0.817);Н (0.813);Ё (0.809);И (0.805);Б (0.802);Ш (0.800);Ю (0.797);К (0.797);Е (0.796);М (0.784);Ь (0.784);В (0.781);Т (0.760);Р (0.756);Г (0.637);I (0.547)
Л (0.988);Э (0.928);З (0.901);Д (0.897);Х (0.893);О (0.885);У (0.884);П (0.866);Ъ (0.861);Ч (0.860);Я (0.845);Ц (0.834);Ж (0.831);С (0.830);А (0.830);Й (0.822);Н (0.818);Щ (0.818);Ф (0.805);Ю (0.803);И (0.801);Е (0.793);Ш (0.791);Б (0.790);Т (0.788);К (0.785);Ё (0.783);М (0.783);Р (0.777);В (0.774);Ь (0.747);Г (0.652);I (0.548)
Ё (0.953);Е (0.940);К (0.923);Б (0.908);Й (0.868);Д (0.867);В (0.849);С (0.839);Ь (0.829);З (0.825);Х (0.821);О (0.818);Ц (0.816);Р (0.815);А (0.811);Э (0.810);И (0.798);П (0.792);Ф (0.790);Л (0.786);Щ (0.786);Ю (0.780);Я (0.776);Н (0.773);Ъ (0.772);У (0.772);Ж (0.769);М (0.766);Ш (0.754);Г (0.734);Ч (0.718);Т (0.710);I (0.636)
К (0.972);Е (0.957);Ё (0.945);Б (0.918);Й (0.884);Д (0.876);В (0.867);Р (0.859);Ь (0.848);Х (0.846);А (0.845);О (0.830);Ф (0.829);И (0.825);С (0.823);Ц (0.822);Э (0.820);З (0.819);Щ (0.813);Ж (0.808);П (0.806);Ю (0.805);Я (0.802);Н (0.801);Л (0.794);М (0.792);Ъ (0.791);У (0.786);Ш (0.771);Ч (0.739);Г (0.725);Т (0.715);I (0.624)
