Ш (0.938);Щ (0.923);Н (0.908);М (0.908);И (0.890);Ю (0.880);Й (0.878);Ф (0.873);Ж (0.872);Ц (0.867);Ь (0.867);О (0.864);Ъ (0.845);Д (0.844);Э (0.832);А (0.831);Ч (0.829);В (0.821);Б (0.819);Я (0.816);Х (0.811);П (0.804);Л (0.794);К (0.792);З (0.784);Е (0.778);Ё (0.772);Р (0.761);С (0.759);У (0.751);Т (0.602);I (0.561);Г (0.558)
И (0.973);Ф (0.940);М (0.938);Н (0.910);В (0.907);Ж (0.899);Я (0.899);Щ (0.897);Й (0.897);Б (0.889);Д (0.874);Ш (0.866);Ю (0.865);К (0.859);О (0.858);Э (0.849);А (0.848);Е (0.844);Ь (0.843);П (0.843);Р (0.842);Х (0.837);Ц (0.832);Л (0.826);Ъ (0.821);З (0.817);Ч (0.812);Ё (0.810);У (0.764);С (0.759);Т (0.651);I (0.632);Г (0.600)
Р (0.955);Е (0.888);К (0.884);П (0.854);Б (0.840);Ё (0.833);Ю (0.826);Ж (0.823);Х (0.820);В (0.820);О (0.819);Д (0.819);Ф (0.816);Н (0.815);И (0.809);Щ (0.809);Й (0.803);Я (0.801);А (0.801);Ц (0.791);Л (0.789);М (0.788);С (0.787);Э (0.781);Ь (0.780);У (0.777);Ъ (0.765);Ш (0.761);Ч (0.760);З (0.758);Г (0.739);Т (0.733);I (0.578)
О (0.966);Ц (0.929);Ъ (0.921);Э (0.915);Д (0.912);Х (0.908);Л (0.898);У (0.890);Ч (0.889);С (0.885);Щ (0.879);Ю (0.869);П (0.868);А (0.862);Й (0.859);Н (0.859);З (0.857);Ш (0.857);Ж (0.856);Ь (0.818);Ф (0.817);Ё (0.816);И (0.813);Е (0.809);К (0.806);Я (0.806);М (0.805);Б (0.802);Р (0.782);В (0.775);Т (0.742);Г (0.668);I (0.516)
К (0.963);Е (0.953);Ё (0.953);Б (0.908);Й (0.878);Д (0.869);В (0.856);Р (0.853);Ь (0.848);Х (0.841);А (0.840);С (0.827);О (0.827);Ц (0.821);Ф (0.819);И (0.814);Э (0.813);З (0.812);Щ (0.807);Ю (0.801);П (0.801);Ж (0.800);Н (0.794);Я (0.790);Л (0.787);Ъ (0.787);У (0.785);М (0.782);Ш (0.766);Ч (0.733);Г (0.733);Т (0.715);I (0.617)
А (0.971);Х (0.917);Й (0.906);Ъ (0.900);Д (0.897);Э (0.879);Ь (0.875);Ц (0.870);О (0.866);Ж (0.862);Щ (0.857);Ф (0.855);У (0.853);Ё (0.851);К (0.842);З (0.834);Н (0.826);Ю (0.825);Б (0.820);Л (0.820);С (0.817);Е (0.817);И (0.816);Ш (0.815);Ч (0.810);М (0.798);Я (0.798);В (0.794);Р (0.784);П (0.779);Т (0.704);Г (0.642);I (0.525)
Я (0.966);И (0.907);Ф (0.900);В (0.887);Д (0.880);Ж (0.872);М (0.871);Л (0.871);Э (0.871);Б (0.868);Й (0.860);З (0.859);Н (0.857);Х (0.850);П (0.849);К (0.841);Щ (0.839);О (0.839);Р (0.837);А (0.835);Е (0.835);Ю (0.812);Ъ (0.807);Ч (0.806);Ш (0.804);Ё (0.795);Ц (0.794);У (0.785);Ь (0.778);С (0.753);Т (0.701);I (0.649);Г (0.608)
Э (0.968);З (0.928);Л (0.921);Д (0.916);Х (0.912);Ъ (0.893);У (0.886);О (0.874);А (0.870);Й (0.854);Ч (0.844);Ц (0.842);Я (0.832);Ж (0.832);С (0.820);Щ (0.820);Ф (0.816);П (0.809);Н (0.808);И (0.801);Ш (0.795);Ё (0.794);Б (0.791);Ю (0.789);К (0.784);Е (0.781);М (0.781);Ь (0.775);В (0.773);Т (0.753);Р (0.745);Г (0.620);I (0.541)
Л (0.971);Э (0.926);З (0.906);Д (0.897);Х (0.892);У (0.890);О (0.882);Ъ (0.860);П (0.857);Ч (0.852);С (0.840);Ц (0.835);Я (0.831);А (0.827);Й (0.820);Ж (0.819);Щ (0.810);Н (0.807);Ю (0.795);Т (0.794);Ф (0.794);Е (0.792);И (0.790);Ё (0.787);Б (0.787);Ш (0.784);К (0.783);М (0.771);Р (0.768);В (0.767);Ь (0.745);Г (0.659);I (0.544)
Ё (0.947);Е (0.940);К (0.925);Б (0.915);Й (0.868);Д (0.862);В (0.856);Ь (0.829);С (0.828);З (0.821);Х (0.814);Р (0.814);О (0.811);Ц (0.809);А (0.807);Э (0.805);И (0.801);Ф (0.791);П (0.787);Щ (0.783);Л (0.780);Я (0.777);Ю (0.776);Н (0.771);М (0.768);Ж (0.766);Ъ (0.766);У (0.763);Ш (0.752);Г (0.726);Ч (0.712);Т (0.701);I (0.646)
К (0.963);Е (0.953);Ё (0.953);Б (0.908);Й (0.878);Д (0.869);В (0.856);Р (0.853);Ь (0.848);Х (0.841);А (0.840);С (0.827);О (0.827);Ц (0.821);Ф (0.819);И (0.814);Э (0.813);З (0.812);Щ (0.807);Ю (0.801);П (0.801);Ж (0.800);Н (0.794);Я (0.790);Л (0.787);Ъ (0.787);У (0.785);М (0.782);Ш (0.766);Ч (0.733);Г (0.733);Т (0.715);I (0.617)
Т (0.930);У (0.798);С (0.773);Г (0.766);Л (0.751);Х (0.748);З (0.742);Э (0.726);Д (0.724);Ё (0.712);О (0.704);П (0.699);Е (0.698);Ъ (0.691);А (0.685);К (0.680);Ц (0.678);Р (0.665);Ч (0.663);Й (0.655);Б (0.648);Я (0.642);Ж (0.636);Ю (0.625);Щ (0.621);Н (0.612);Ф (0.610);В (0.609);Ь (0.601);И (0.595);Ш (0.586);М (0.568);I (0.434)
Р (0.955);Е (0.888);К (0.884);П (0.854);Б (0.840);Ё (0.833);Ю (0.826);Ж (0.823);Х (0.820);В (0.820);О (0.819);Д (0.819);Ф (0.816);Н (0.815);И (0.809);Щ (0.809);Й (0.803);Я (0.801);А (0.801);Ц (0.791);Л (0.789);М (0.788);С (0.787);Э (0.781);Ь (0.780);У (0.777);Ъ (0.765);Ш (0.761);Ч (0.760);З (0.758);Г (0.739);Т (0.733);I (0.578)
И (0.973);Ф (0.940);М (0.938);Н (0.910);В (0.907);Ж (0.899);Я (0.899);Щ (0.897);Й (0.897);Б (0.889);Д (0.874);Ш (0.866);Ю (0.865);К (0.859);О (0.858);Э (0.849);А (0.848);Е (0.844);Ь (0.843);П (0.843);Р (0.842);Х (0.837);Ц (0.832);Л (0.826);Ъ (0.821);З (0.817);Ч (0.812);Ё (0.810);У (0.764);С (0.759);Т (0.651);I (0.632);Г (0.600)
Ф (0.973);Ж (0.934);И (0.919);М (0.897);Н (0.895);Щ (0.892);А (0.891);Й (0.890);Я (0.890);Д (0.871);В (0.869);Х (0.865);Б (0.858);Ю (0.857);К (0.856);Э (0.853);О (0.851);Р (0.849);Ш (0.844);Ь (0.843);Ъ (0.841);Е (0.830);Ц (0.825);Л (0.824);П (0.823);Ч (0.820);З (0.811);Ё (0.808);У (0.788);С (0.753);Т (0.668);Г (0.602);I (0.592)
И (0.973);Ф (0.940);М (0.938);Н (0.910);В (0.907);Ж (0.899);Я (0.899);Щ (0.897);Й (0.897);Б (0.889);Д (0.874);Ш (0.866);Ю (0.865);К (0.859);О (0.858);Э (0.849);А (0.848);Е (0.844);Ь (0.843);П (0.843);Р (0.842);Х (0.837);Ц (0.832);Л (0.826);Ъ (0.821);З (0.817);Ч (0.812);Ё (0.810);У (0.764);С (0.759);Т (0.651);I (0.632);Г (0.600)
К (0.963);Е (0.953);Ё (0.953);Б (0.908);Й (0.878);Д (0.869);В (0.856);Р (0.853);Ь (0.848);Х (0.841);А (0.840);С (0.827);О (0.827);Ц (0.821);Ф (0.819);И (0.814);Э (0.813);З (0.812);Щ (0.807);Ю (0.801);П (0.801);Ж (0.800);Н (0.794);Я (0.790);Л (0.787);Ъ (0.787);У (0.785);М (0.782);Ш (0.766);Ч (0.733);Г (0.733);Т (0.715);I (0.617)
А (0.971);Х (0.917);Й (0.906);Ъ (0.900);Д (0.897);Э (0.879);Ь (0.875);Ц (0.870);О (0.866);Ж (0.862);Щ (0.857);Ф (0.855);У (0.853);Ё (0.851);К (0.842);З (0.834);Н (0.826);Ю (0.825);Б (0.820);Л (0.820);С (0.817);Е (0.817);И (0.816);Ш (0.815);Ч (0.810);М (0.798);Я (0.798);В (0.794);Р (0.784);П (0.779);Т (0.704);Г (0.642);I (0.525)
Ц (0.960);О (0.941);Ъ (0.929);Щ (0.884);Э (0.882);Д (0.882);Х (0.878);Ч (0.878);Ш (0.874);С (0.874);Ю (0.872);У (0.863);А (0.856);Й (0.854);Н (0.852);Л (0.849);Ж (0.843);Ь (0.838);П (0.831);З (0.823);Ф (0.802);Ё (0.802);М (0.797);И (0.797);К (0.785);Е (0.783);Б (0.781);Я (0.771);В (0.752);Р (0.752);Т (0.701);Г (0.645);I (0.489)
И (0.973);Ф (0.940);М (0.938);Н (0.910);В (0.907);Ж (0.899);Я (0.899);Щ (0.897);Й (0.897);Б (0.889);Д (0.874);Ш (0.866);Ю (0.865);К (0.859);О (0.858);Э (0.849);А (0.848);Е (0.844);Ь (0.843);П (0.843);Р (0.842);Х (0.837);Ц (0.832);Л (0.826);Ъ (0.821);З (0.817);Ч (0.812);Ё (0.810);У (0.764);С (0.759);Т (0.651);I (0.632);Г (0.600)
Я (0.966);И (0.907);Ф (0.900);В (0.887);Д (0.880);Ж (0.872);М (0.871);Л (0.871);Э (0.871);Б (0.868);Й (0.860);З (0.859);Н (0.857);Х (0.850);П (0.849);К (0.841);Щ (0.839);О (0.839);Р (0.837);А (0.835);Е (0.835);Ю (0.812);Ъ (0.807);Ч (0.806);Ш (0.804);Ё (0.795);Ц (0.794);У (0.785);Ь (0.778);С (0.753);Т (0.701);I (0.649);Г (0.608)
Ю (0.966);Щ (0.953);Н (0.950);Ш (0.936);Ж (0.905);О (0.892);Ч (0.884);Ц (0.879);М (0.879);П (0.858);И (0.856);Ф (0.854);Ъ (0.854);Ь (0.831);Й (0.827);Д (0.825);Х (0.824);А (0.823);Э (0.818);Р (0.805);Л (0.805);Я (0.803);К (0.785);Б (0.784);В (0.781);У (0.781);С (0.777);Е (0.776);Ё (0.757);З (0.753);Т (0.641);Г (0.602);I (0.506)
Ж (0.972);Щ (0.932);Н (0.924);Ф (0.912);Ю (0.904);О (0.896);А (0.896);Х (0.888);Ъ (0.887);Ч (0.880);Ш (0.879);И (0.878);М (0.877);Д (0.872);Й (0.868);Ц (0.868);Э (0.866);Я (0.853);П (0.851);Л (0.842);Ь (0.841);Р (0.837);У (0.827);К (0.826);Б (0.817);В (0.814);Е (0.808);З (0.802);Ё (0.794);С (0.784);Т (0.687);Г (0.618);I (0.533)
Щ (0.970);Н (0.965);Ю (0.939);Ш (0.933);Ж (0.929);О (0.920);М (0.900);Ц (0.894);Ч (0.893);И (0.889);Ф (0.887);Ъ (0.880);П (0.874);Д (0.870);Й (0.866);Э (0.863);Х (0.859);А (0.855);Л (0.845);Я (0.844);Ь (0.843);Б (0.819);Р (0.817);В (0.816);К (0.813);У (0.807);Е (0.804);З (0.801);С (0.796);Ё (0.785);Т (0.667);Г (0.610);I (0.541)
Ь (0.963);Й (0.890);Ё (0.852);А (0.842);Ц (0.840);К (0.840);Б (0.834);Щ (0.831);Д (0.823);Е (0.814);Ф (0.813);Ш (0.812);Ю (0.807);О (0.806);И (0.804);В (0.803);Ъ (0.802);Н (0.797);Х (0.796);М (0.793);Ж (0.793);Э (0.782);С (0.776);З (0.755);Р (0.751);Я (0.735);У (0.735);П (0.728);Ч (0.727);Л (0.725);Г (0.615);Т (0.600);I (0.552)
I (0.841);В (0.598);Б (0.575);Е (0.537);К (0.531);И (0.523);Я (0.508);М (0.498);Р (0.495);Ё (0.494);Й (0.485);Ф (0.484);З (0.457);Д (0.456);Ь (0.449);П (0.440);Н (0.440);Щ (0.423);Ж (0.420);Э (0.418);Л (0.414);Ю (0.411);Ш (0.411);А (0.407);О (0.406);Х (0.398);Ц (0.391);С (0.382);Ъ (0.355);Г (0.355);Ч (0.339);У (0.334);Т (0.321)
Х (0.964);Д (0.927);У (0.922);Э (0.918);А (0.917);Ъ (0.913);О (0.901);Ц (0.885);Й (0.877);Л (0.876);С (0.875);З (0.874);Ё (0.854);Ж (0.846);Щ (0.842);Ч (0.836);К (0.835);Е (0.827);Ь (0.826);Ю (0.823);Ф (0.822);П (0.819);Н (0.818);Б (0.812);Ш (0.803);Я (0.802);И (0.796);Р (0.789);В (0.779);М (0.776);Т (0.772);Г (0.688);I (0.521)
О (0.966);Ц (0.929);Ъ (0.921);Э (0.915);Д (0.912);Х (0.908);Л (0.898);У (0.890);Ч (0.889);С (0.885);Щ (0.879);Ю (0.869);П (0.868);А (0.862);Й (0.859);Н (0.859);З (0.857);Ш (0.857);Ж (0.856);Ь (0.818);Ф (0.817);Ё (0.816);И (0.813);Е (0.809);К (0.806);Я (0.806);М (0.805);Б (0.802);Р (0.782);В (0.775);Т (0.742);Г (0.668);I (0.516)
Б (0.962);К (0.924);Е (0.917);В (0.909);Ё (0.905);Й (0.899);Д (0.865);Ь (0.849);И (0.846);Ф (0.831);З (0.823);А (0.818);Р (0.814);М (0.811);Э (0.811);Я (0.810);Х (0.809);О (0.809);Ц (0.804);Щ (0.804);Н (0.796);Ж (0.789);С (0.788);Ю (0.786);П (0.782);Л (0.778);Ш (0.775);Ъ (0.769);У (0.743);Ч (0.718);I (0.679);Г (0.665);Т (0.662)
Л (0.971);Э (0.926);З (0.906);Д (0.897);Х (0.892);У (0.890);О (0.882);Ъ (0.860);П (0.857);Ч (0.852);С (0.840);Ц (0.835);Я (0.831);А (0.827);Й (0.820);Ж (0.819);Щ (0.810);Н (0.807);Ю (0.795);Т (0.794);Ф (0.794);Е (0.792);И (0.790);Ё (0.787);Б (0.787);Ш (0.784);К (0.783);М (0.771);Р (0.768);В (0.767);Ь (0.745);Г (0.659);I (0.544)
А (0.971);Х (0.922);Й (0.911);Д (0.904);Ъ (0.896);Э (0.881);Ь (0.877);О (0.871);Ц (0.871);Ж (0.868);Ф (0.862);Щ (0.861);Ё (0.860);У (0.854);К (0.854);З (0.838);Н (0.832);Б (0.831);Ю (0.830);Е (0.829);Л (0.825);И (0.824);С (0.821);Ш (0.817);Ч (0.811);Я (0.806);М (0.804);В (0.804);Р (0.797);П (0.788);Т (0.710);Г (0.650);I (0.534)
С (0.969);Ц (0.864);У (0.864);О (0.858);Д (0.852);Х (0.844);Э (0.835);Ё (0.834);Ъ (0.831);З (0.823);Л (0.821);Й (0.802);А (0.798);Е (0.798);П (0.794);К (0.783);Ю (0.778);Ч (0.776);Ь (0.775);Щ (0.775);Т (0.771);Б (0.764);Ш (0.756);Н (0.750);Ж (0.748);Г (0.745);Р (0.730);Ф (0.722);И (0.719);В (0.716);Я (0.714);М (0.703);I (0.488)
Т (0.934);У (0.789);Г (0.772);С (0.767);Л (0.746);Х (0.741);З (0.735);Д (0.718);Э (0.718);Ё (0.707);П (0.699);Е (0.698);О (0.698);Ъ (0.682);К (0.678);А (0.677);Ц (0.671);Р (0.668);Ч (0.657);Й (0.649);Б (0.646);Я (0.640);Ж (0.631);Ю (0.622);Щ (0.616);Н (0.608);В (0.608);Ф (0.607);Ь (0.595);И (0.592);Ш (0.580);М (0.565);I (0.436)
Ё (0.947);Е (0.940);К (0.925);Б (0.915);Й (0.868);Д (0.862);В (0.856);Ь (0.829);С (0.828);З (0.821);Х (0.814);Р (0.814);О (0.811);Ц (0.809);А (0.807);Э (0.805);И (0.801);Ф (0.791);П (0.787);Щ (0.783);Л (0.780);Я (0.777);Ю (0.776);Н (0.771);М (0.768);Ж (0.766);Ъ (0.766);У (0.763);Ш (0.752);Г (0.726);Ч (0.712);Т (0.701);I (0.646)
Й (0.964);Д (0.938);Э (0.907);А (0.903);Ф (0.890);Х (0.888);З (0.883);Б (0.883);И (0.881);О (0.876);Щ (0.871);Ъ (0.869);Ь (0.869);Ж (0.866);В (0.866);Ц (0.864);К (0.864);Я (0.858);Ё (0.856);Н (0.854);М (0.853);Л (0.850);Е (0.847);Ш (0.841);Ю (0.830);У (0.815);П (0.809);Ч (0.808);С (0.807);Р (0.794);Т (0.685);Г (0.621);I (0.606)
Э (0.979);Д (0.952);З (0.937);Х (0.923);Л (0.919);Ъ (0.896);О (0.895);Й (0.885);А (0.883);У (0.881);Ц (0.865);Ж (0.844);Я (0.843);С (0.842);Ч (0.841);Щ (0.840);Ф (0.834);П (0.828);Ё (0.827);Н (0.827);Б (0.825);И (0.824);К (0.817);Е (0.815);Ш (0.813);Ю (0.810);Ь (0.804);В (0.802);М (0.801);Р (0.770);Т (0.750);Г (0.642);I (0.563)
